"review_order","claim_group","claim_id","claim_text","claim_type","technical","jurisdiction","effective_date","scope","evidence_tier","source_ids","source_titles","limitations","current_verification_status","research_disposition","expert_decision","required_revision","supporting_source_and_locator","contrary_evidence_or_exception","expert_confidence","reviewer_name","review_date"
"1","candidate","claim-distinct-jobs","Coagulation destabilizes particles or forms precipitates, while flocculation uses controlled contact to grow aggregates.","sourced_fact","yes","","","Drinking-water clarification.","government_guidance","source-epa-lt1; source-tdec","Long Term 1 Enhanced Surface Water Treatment Rule Turbidity Provisions Technical Guidance Manual; Coagulation and Flocculation Workshop, Course 307","Coagulation can involve charge neutralization, sweep coagulation, adsorption, bridging, or combinations; the chemical-versus-physical shorthand is incomplete.","pending","retain_with_mechanism_nuance","","","","","","",""
"2","rejected_or_withheld","claim-universal-nonsettling","All clay, silt, algae, organic colour, bacteria, and precipitated metals are too small and electrically stable to ever settle, so gravity can never remove them.","sourced_fact","yes","","","Original opening statement.","supplied_prototype","source-prototype","Coagulation vs Flocculation Concept Brief prototype","The listed materials span different particle sizes, densities, surface chemistries, and settling behaviour.","rejected","replace_with_conditioned_statement","","","","","","",""
"3","candidate","claim-particle-stability","Some fine and colloidal particles settle very slowly because of their size and stability, and coagulation-flocculation can improve their removal.","sourced_fact","yes","","","Drinking-water clarification.","government_guidance","source-tdec; source-epa-lt1","Coagulation and Flocculation Workshop, Course 307; Long Term 1 Enhanced Surface Water Treatment Rule Turbidity Provisions Technical Guidance Manual","Settling behaviour remains water-specific and particle-specific.","pending","replacement_for_claim_universal_nonsettling","","","","","","",""
"4","rejected_or_withheld","claim-us-credit-at-coagulation","Under the United States Surface Water Treatment Rule, turbidity and log-removal credit is earned in coagulation rather than at the filter.","regulatory_requirement","yes","","","Original United States regulatory statement.","supplied_prototype","source-prototype; source-epa-swtr-turbidity","Coagulation vs Flocculation Concept Brief prototype; Surface Water Treatment Rule Turbidity Guidance Manual","Filtered-water turbidity is a regulated performance measure and removal credit is associated with the treatment train, not coagulation alone.","rejected","do_not_publish","","","","","","",""
"5","candidate","claim-us-filtered-water-turbidity","Under applicable United States Surface Water Treatment Rules, conventional and direct filtration systems must meet combined filter effluent turbidity limits of 0.3 NTU in at least 95 percent of measurements each month and 1 NTU as the maximum.","regulatory_requirement","yes","United States","current_electronic_cfr_reviewed_2026-07-25","Public water systems using conventional or direct filtration and covered by the applicable federal Surface Water Treatment Rule provisions.","us_federal_regulation","source-ecfr-141-173; source-ecfr-141-551; source-epa-swtr-turbidity","40 CFR 141.173 Filtration; 40 CFR 141.551 Strengthened combined filter effluent turbidity limits; Surface Water Treatment Rule Turbidity Guidance Manual","System size, rule subpart, filtration technology, monitoring, reporting, and state primacy requirements must be confirmed before use.","pending","proposed_us_federal_regulatory_replacement","","","","","","",""
"6","candidate","claim-sludge-factor","One milligram per litre of alum fed produces about 0.26 milligrams per litre of sludge.","technical_standard","yes","","","Stoichiometric teaching factor shown on TDEC PDF page 10.","government_training","source-tdec","Coagulation and Flocculation Workshop, Course 307","This is not total plant sludge production; captured source-water solids, organics, other chemicals, product basis, and water content change actual residuals.","pending","remove_numeric_factor_unless_exact_stoichiometric_basis_is_verified","","","","","","",""
"7","candidate","claim-turbidity-proxy","Filtered-water turbidity is an operational indicator of treatment performance and potential pathogen-removal performance, not a direct measurement of pathogen concentration.","sourced_fact","yes","","","Drinking-water treatment performance.","federal_health_guidance","source-epa-swtr-turbidity; source-epa-lt1","Surface Water Treatment Rule Turbidity Guidance Manual; Long Term 1 Enhanced Surface Water Treatment Rule Turbidity Provisions Technical Guidance Manual","It must not be described as a complete or visible proxy for pathogen protection.","pending","replace_public_trust_wording","","","","","","",""
"8","rejected_or_withheld","claim-consent-order","A clarifier carryover event will be named in a consent order.","sourced_fact","no","","","Original enforcement assertion.","supplied_prototype","source-prototype","Coagulation vs Flocculation Concept Brief prototype","Enforcement outcomes are jurisdiction-specific and fact-specific.","rejected","remove","","","","","","",""
"9","rejected_or_withheld","claim-negative-charge-universal","Every raw-water particle has the same negative surface charge.","sourced_fact","yes","","","Original simulator explanation.","supplied_prototype","source-prototype","Coagulation vs Flocculation Concept Brief prototype","Surface charge varies by material and water chemistry.","rejected","replace_with_typical_not_universal_language","","","","","","",""
"10","candidate","claim-charge","Many common colloids in natural waters carry negative surface charge, and metal coagulants can reduce repulsion under suitable chemical conditions.","sourced_fact","yes","","","Simplified drinking-water mechanism.","government_guidance","source-tdec; source-epa-lt1","Coagulation and Flocculation Workshop, Course 307; Long Term 1 Enhanced Surface Water Treatment Rule Turbidity Provisions Technical Guidance Manual","Charge neutralization is one coagulation mechanism and does not explain every water or coagulant.","pending","retain_with_visible_boundary","","","","","","",""
